53.0,186.0
112.0,186.0
134.0,186.0
156.0,191.0
160.0,195.0
162.0,197.0
162.0,201.0
162.0,205.0
162.0,212.0
162.0,222.0
162.0,231.0
161.0,241.0
159.0,252.0
155.0,265.0
150.0,278.0
144.0,289.0
142.0,299.0
137.0,309.0
134.0,315.0
130.0,322.0
127.0,329.0
123.0,335.0
120.0,342.0
118.0,348.0
115.0,355.0
113.0,360.0
108.0,368.0
104.0,379.0
104.0,380.0
105.0,379.0
107.0,376.0
109.0,375.0
110.0,373.0
112.0,370.0
117.0,365.0
124.0,357.0
131.0,349.0
140.0,340.0
148.0,333.0
155.0,325.0
162.0,318.0
167.0,311.0
174.0,304.0
182.0,298.0
189.0,292.0
195.0,289.0
201.0,283.0
206.0,281.0
209.0,280.0
209.0,279.0
212.0,277.0
216.0,277.0
218.0,277.0
219.0,277.0
221.0,278.0
223.0,280.0
227.0,286.0
230.0,292.0
234.0,300.0
240.0,309.0
240.0,313.0
242.0,320.0
243.0,325.0
245.0,329.0
245.0,335.0
245.0,341.0
245.0,349.0
245.0,357.0
245.0,362.0
247.0,366.0
249.0,371.0
253.0,375.0
254.0,377.0
256.0,378.0
259.0,378.0
263.0,378.0
267.0,378.0
271.0,378.0
276.0,378.0
283.0,378.0
290.0,376.0
299.0,371.0
307.0,364.0
317.0,357.0
329.0,349.0
336.0,342.0
345.0,336.0
355.0,329.0
362.0,324.0
366.0,320.0
367.0,317.0
371.0,312.0
372.0,310.0
373.0,308.0
374.0,304.0
374.0,302.0
375.0,299.0
375.0,298.0
376.0,297.0
377.0,296.0
377.0,295.0
